كود العطل (OBD),وصف المشكلة (بالعربية),قطعة الغيار المطلوبة,متوسط السعر (EGP),ساعات العمل,مصنعية تقريبية,المصدر,,,,,,
P0717,لا توجد إشارة حساس سرعة,حساس فتيس داخلي,"2,000 - 4,500",1.5,"700 - 1,200",إي-زي بارتس,,,,,,
P0050,دائرة سخان (Bank 2),حساس أوكسجين,"3,200 - 5,500",1,400 - 600,إي-زي بارتس,,,,,,
P0563,ارتفاع جهد النظام,منظم دينامو / كتاوت,"1,500 - 3,800",1.5,500 - 800,إي-زي بارتس,,,,,,
P0139,استجابة بطيئة حساس 2,حساس أوكسجين خلفي,"2,600 - 4,800",1,300 - 600,إي-زي بارتس,,,,,,
P0741,أداء بلف الكلاتش (TCC),طقم إصلاح / سولينويد,"4,000 - 9,000",3,"1,500 - 3,500",إي-زي بارتس,,,,,,
P0011,توقيت كامة متقدم (A),زيت / بلف VVT,"2,200 - 4,500",1,400 - 700,إي-زي بارتس,,,,,,
P0715,عطل حساس سرعة الدخل,حساس فتيس داخلي,"2,000 - 4,200",1.5,"700 - 1,100",إي-زي بارتس,,,,,,
P0037,جهد منخفض سخان (1/2),حساس أوكسجين خلفي,"2,500 - 4,500",1,300 - 500,إي-زي بارتس,,,,,,
P0520,عطل دائرة حساس الزيت,حساس ضغط زيت,"800 - 2,200",1,300 - 500,إي-زي بارتس,,,,,,
P0012,تأخر توقيت الكامة (A),زيت / صمام VVT,"1,500 - 4,500",1,400 - 700,إي-زي بارتس,,,,,,
P0604,عطل ذاكرة RAM الكنترول,تغيير كنترول,"8,000 - 20,000",2,"2,000 - 4,000",إي-زي بارتس,,,,,,
P0051,جهد منخفض سخان (B2),حساس أوكسجين,"3,200 - 5,500",1,400 - 600,إي-زي بارتس,,,,,,
P0530,عطل حساس ضغط التكييف,حساس فريون,"850 - 2,500",0.8,300 - 500,إي-زي بارتس,,,,,,
P0222,انخفاض دخل حساس TPS,حساس بوابة,"1,200 - 2,800",0.8,300 - 500,إي-زي بارتس,,,,,,
P2181,أداء نظام التبريد,طلمبة مياه / رادياتير,"3,000 - 7,000",2.5,"1,000 - 1,800",إي-زي بارتس,,,,,,
P0443,عطل صمام تطهير EVAP,بلف كانستر,"1,200 - 2,800",0.8,300 - 500,إي-زي بارتس,,,,,,
P2231,قصر إشارة حساس شكمان,حساس أوكسجين,"3,000 - 5,500",1,400 - 700,إي-زي بارتس,,,,,,
P0411,تدفق هواء ثانوي خطأ,طلمبة هواء,"4,500 - 9,500",2,"800 - 1,500",إي-زي بارتس,,,,,,
P0234,حالة شحن زائد للتيربو,صمام هواء التيربو,"3,500 - 6,800",1.5,"600 - 1,100",إي-زي بارتس,,,,,,
P2101,أداء موتور البوابة الكهربائية,بوابة (Throttle Body),"5,000 - 11,000",1,"600 - 1,000",إي-زي بارتس,,,,,,
P0031,جهد منخفض سخان شكمان 1,حساس أوكسجين (Front),"3,200 - 5,500",1,400 - 700,إي-زي بارتس,,,,,,
P0562,انخفاض جهد النظام,بطارية / دينامو,"4,500 - 13,000",1,300 - 600,إي-زي بارتس,,,,,,
P0016,عدم توافق الكرنك والكامة,طقم كاتينة / جنزير,"6,000 - 15,000",4,"3,000 - 5,000",إي-زي بارتس,,,,,,
P0507,سرعة الأيدل مرتفعة,تنظيف بوابة / جوان,500 (كيماوي),1,500 - 800,إي-زي بارتس,,,,,,
P0037,جهد منخفض سخان شكمان 2,حساس أوكسجين خلفي,"2,800 - 4,900",1,400 - 600,إي-زي بارتس,,,,,,
P0442,تسريب بسيط بنظام EVAP,فحص وصلات الوقود,---,1.5,"700 - 1,200",إي-زي بارتس,,,,,,
C1241,جهد منخفض (ABS),بطارية / دينامو,"4,500 - 13,000",1,400 - 700,إي-زي بارتس,,,,,,
P0500,عطل حساس السرعة,حساس VSS,"1,000 - 2,400",1,400 - 700,إي-زي بارتس,,,,,,
P0113,دخل مرتفع حساس الهواء,حساس IAT,"1,400 - 3,000",0.5,300 - 500,إي-زي بارتس,,,,,,
P0740,عطل دائرة الكلاتش,سولينويد TCC,"3,500 - 8,000",2.5,"1,200 - 2,200",إي-زي بارتس,,,,,,
P0303,ميس فاير اسطوانة 3,بوجيه / موبينة,"1,400 - 3,200",0.5,300 - 500,إي-زي بارتس,,,,,,
P2100,انقطاع موتور البوابة,بوابة كهرباء كاملة,"5,500 - 12,000",1,"700 - 1,200",إي-زي بارتس,,,,,,
P0136,عطل حساس شكمان 2,حساس أوكسجين خلفي,"2,800 - 5,000",1,400 - 700,إي-زي بارتس,,,,,,
P0732,غيار ثانٍ غير صحيح,فحص ميكانيكا الفتيس,---,5.0+,"4,000+",إي-زي بارتس,,,,,,
P0336,مدى حساس الكرنك,حساس كرنك,"1,500 - 3,400",1.5,"700 - 1,200",إي-زي بارتس,,,,,,
P2196,إشارة شكمان غنية,حساس أوكسجين,"3,200 - 6,000",1,500 - 900,إي-زي بارتس,,,,,,
P0131,جهد منخفض حساس شكمان,حساس أوكسجين,"3,200 - 5,400",1,400 - 700,إي-زي بارتس,,,,,,
P0710,عطل حساس حرارة الفتيس,حساس ATF Temp,"2,500 - 5,500",2,"1,000 - 1,800",إي-زي بارتس,,,,,,
P0125,حرارة غير كافية للتحكم,ترموستات / حساس,"1,100 - 2,600",1.5,"600 - 1,000",إي-زي بارتس,,,,,,
P0730,نسبة تروس غير صحيحة,عمرة فتيس,---,6.0+,"5,000+",إي-زي بارتس,,,,,,
P0122,انخفاض دخل حساس TPS,حساس بوابة,"1,400 - 3,000",0.8,400 - 600,إي-زي بارتس,,,,,,
P0740,عطل دائرة TCC,سولينويد فتيس,"3,800 - 8,000",2.5,"1,200 - 2,500",إي-زي بارتس,,,,,,
P0141,عطل سخان شكمان 2,حساس أوكسجين خلفي,"2,800 - 5,200",1,400 - 700,إي-زي بارتس,,,,,,
P0706,عطل مدى سلكتور الفتيس,فحص سلكتور,---,1.5,"800 - 1,500",إي-زي بارتس,,,,,,
P0121,مدى أداء حساس البوابة A,حساس TPS / بوابة,"1,800 - 4,500",1,400 - 700,إي-زي بارتس,,,,,,
P0715,عطل حساس سرعة التوربينة (فتيس),حساس Input Speed,"2,500 - 5,500",1.5,"700 - 1,200",إي-زي بارتس,,,,,,
P0500,عطل حساس سرعة المركبة,حساس VSS,"1,200 - 2,800",1,400 - 700,إي-زي بارتس,,,,,,
P0031,جهد منخفض سخان حساس شكمان 1,حساس أوكسجين أمامي,"3,500 - 6,000",1,400 - 700,إي-زي بارتس,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"1,500 - 3,500",1.5,"700 - 1,200",إي-زي بارتس,,,,,,
P2118,عطل تيار موتور بوابة الهواء,فيوز بوابة / ضفيرة,"400 - 1,200",1,400 - 800,إي-زي بارتس,,,,,,
P0136,عطل دائرة حساس الأوكسجين (خلفي),حساس شكمان خلفي,"2,800 - 5,200",1,400 - 700,إي-زي بارتس,,,,,,
P0606,عطل في معالج الكنترول (ECM),صيانة بوردة الكنترول,"6,000 - 15,000",2,"2,000 - 4,500",إي-زي بارتس,,,,,,
C0035,عطل حساس ABS (أمام أيسر),حساس ABS,"1,200 - 2,800",1,400 - 600,إي-زي بارتس,,,,,,
P0351,عطل في ملف الإشعال (A),موبينة اسطوانة 1,"1,500 - 3,500",0.5,250 - 400,إي-زي بارتس,,,,,,
P2121,مدى حساس دعسة البنزين,حساس دواسة (Pedal),"4,500 - 8,500",1,500 - 900,إي-زي بارتس,,,,,,
P0304,ميس فاير (اسطوانة 4),بوجيه / موبينة / رشاش,"1,500 - 3,500",0.5,250 - 400,إي-زي بارتس,,,,,,
P0732,غيار ثانٍ غير صحيح (نسبة خطأ),فحص ميكانيكا الفتيس,---,5.0+,"5,000+",إي-زي بارتس,,,,,,
P0172,خليط وقود غني (Bank 1),حساس هواء / رشاشات,"3,000 - 6,000",1.5,"700 - 1,200",إي-زي بارتس,,,,,,
P0700,عطل نظام التحكم في الناقل,فحص ضفيرة الفتيس,---,1,"800 - 1,500",إي-زي بارتس,,,,,,
P0130,عطل دائرة حساس الأوكسجين,حساس شكمان أمامي,"3,500 - 6,000",1,500 - 800,إي-زي بارتس,,,,,,
P0604,عطل ذاكرة RAM الكنترول,تغيير كنترول,"8,000 - 20,000",2,"2,000 - 4,000",إي-زي بارتس,,,,,,
P0032,جهد مرتفع سخان حساس 1,حساس أوكسجين,"3,500 - 6,000",1,400 - 700,إي-زي بارتس,,,,,,
P0530,عطل حساس ضغط التكييف,حساس فريون,"1,000 - 2,800",1,500 - 800,إي-زي بارتس,,,,,,
P0036,عطل سخان حساس شكمان 2,حساس أوكسجين خلفي,"2,800 - 5,000",1,400 - 600,إي-زي بارتس,,,,,,
P0501,مدى حساس السرعة (A),حساس VSS,"1,200 - 2,600",1,500 - 800,إي-زي بارتس,,,,,,
C1223,عطل في نظام الـ ABS,فحص كنترول ABS,---,1,"800 - 1,500",إي-زي بارتس,,,,,,
P0447,فتح دائرة تنفيس EVAP,بلف تنفيس,"1,800 - 3,800",1,"600 - 1,000",إي-زي بارتس,,,,,,
P0051,جهد منخفض سخان (B2/S1),حساس أوكسجين,"3,800 - 6,500",1,500 - 900,إي-زي بارتس,,,,,,
P0403,عطل دائرة صمام EGR,صمام إعادة تدوير الغاز,"4,500 - 9,500",1.5,"600 - 1,200",إي-زي بارتس,,,,,,
P0685,فتح دائرة ريلاي الكنترول,ريلاي رئيسي (Main Relay),"400 - 1,200",0.5,300 - 600,إي-زي بارتس,,,,,,
P0299,انخفاض شحن التيربو,فحص خراطيم / قلب تيربو,"8,000 - 30,000",3,"2,000 - 4,500",إي-زي بارتس,,,,,,
P0706,عطل في مدى ناقل الحركة,سلكتور فتيس,"3,200 - 7,500",1.5,"800 - 1,600",إي-زي بارتس,,,,,,
P0171,خليط وقود فقير (B1),طلمبة / رشاش / ماف,"3,500 - 7,500",1.5,"700 - 1,300",إي-زي بارتس,,,,,,
P0730,نسبة تروس غير صحيحة,فحص الفتيس ميكانيكياً,---,5.0+,"4,000+",إي-زي بارتس,,,,,,
P0031,جهد منخفض سخان (1/1),حساس أوكسجين أمامي,"3,500 - 6,500",1,500 - 800,إي-زي بارتس,,,,,,
P0606,عطل معالج PCM/ECM,صيانة الكنترول,"7,000 - 18,000",2,"2,000 - 4,500",إي-زي بارتس,,,,,,
P0011,توقيت كامة متقدم (Intake),صمام VVT,"2,800 - 5,500",1,500 - 800,إي-زي بارتس,,,,,,
P0442,تسريب متوسط (EVAP),فحص خراطيم صلبة,---,1.5,"800 - 1,400",إي-زي بارتس,,,,,,
P0113,دخل مرتفع حساس الهواء,حساس IAT,"1,400 - 3,200",0.5,300 - 500,إي-زي بارتس,,,,,,
P0715,عطل حساس سرعة الدخل,حساس توربينة,"2,400 - 5,000",1.5,"800 - 1,400",إي-زي بارتس,,,,,,
P0130,عطل دائرة حساس الأوكسجين,حساس شكمان أمامي,"3,500 - 6,500",1,500 - 900,إي-زي بارتس,,,,,,
P0744,إشارة متقطعة TCC,فحص ضفيرة الفتيس,---,2,"1,200 - 2,500",إي-زي بارتس,,,,,,
P0050,دائرة سخان (B2/S1),حساس أوكسجين,"4,000 - 7,000",1,"600 - 1,000",إي-زي بارتس,,,,,,
P0530,عطل حساس ضغط التكييف,حساس فريون,"1,200 - 3,200",1,"600 - 1,000",إي-زي بارتس,,,,,,
P0036,دائرة سخان (B1/S2),حساس أوكسجين,"3,000 - 5,500",1,400 - 700,إي-زي بارتس,,,,,,
P0560,عطل في فولتية النظام,فحص أصابع البطارية,---,1,400 - 800,إي-زي بارتس,,,,,,
P0032,جهد مرتفع سخان حساس 1,حساس أوكسجين,"3,800 - 6,800",1,500 - 900,إي-زي بارتس,,,,,,
P0601,خطأ في معالج الكنترول,شحن سوفت وير,"5,000 - 12,000",2,"2,000 - 4,000",إي-زي بارتس,,,,,,
P0016,عدم توافق الكرنك والكامة,طقم كاتينة,"7,000 - 18,000",4,"3,500 - 6,000",إي-زي بارتس,,,,,,
P0502,انخفاض دخل حساس السرعة,حساس VSS,"1,200 - 2,800",1,500 - 900,إي-زي بارتس,,,,,,
P0051,جهد منخفض سخان (B2),حساس أوكسجين,"3,800 - 6,800",1,500 - 900,إي-زي بارتس,,,,,,
P0563,ارتفاع جهد النظام,منظم شحن الدينامو,"2,000 - 5,000",1,"600 - 1,200",إي-زي بارتس,,,,,,
C1223,عطل عام في نظام الـ ABS,فحص كنترول ABS,---,1,"800 - 1,500",إي-زي بارتس,,,,,,
P0422,كفاءة المحفز الرئيسي,علبة بيئة,"11,000 - 30,000",2,"1,500 - 3,000",إي-زي بارتس,,,,,,
B1441,عطل مفتاح التشغيل (Ignition),قلب كونتاكت / زر بصمة,"1,800 - 5,500",1.5,"700 - 1,500",إي-زي بارتس,,,,,,
B1596,عطل عام في الخدمات (Service),تصفير عداد الصيانة,---,0.5,200 - 500,إي-زي بارتس,,,,,,
C1233,فقد إشارة حساس السرعة (FL),حساس ABS أمام أيسر,"1,300 - 2,900",1,400 - 700,إي-زي بارتس,,,,,,
P0501,مدى أداء حساس السرعة VSS,حساس سرعة (كيلومتر),"1,100 - 2,600",1,400 - 700,إي-زي بارتس,,,,,,
P2101,مدى أداء موتور البوابة,بوابة هواء كهربائية,"5,500 - 12,000",1,"600 - 1,100",إي-زي بارتس,,,,,,
C0040,عطل حساس ABS (أمام أيمن),حساس ABS,"1,300 - 3,000",1,400 - 700,إي-زي بارتس,,,,,,
P0560,عطل فولتية النظام,فحص أصابع البطارية,---,0.5,200 - 400,إي-زي بارتس,,,,,,
B1352,عطل دائرة مفتاح الإشعال,طقم مفتاح / كونتاكت,"2,500 - 6,000",2,"1,000 - 2,000",إي-زي بارتس,,,,,,
P0011,توقيت كامة متقدم (A),بلف VVT / زيت,"2,800 - 5,500",1,500 - 800,إي-زي بارتس,,,,,,
P0507,سرعة الأيدل مرتفعة,تنظيف بوابة,500 (كيماوي),1,400 - 700,إي-زي بارتس,,,,,,
B1111,عطل في غلق الأبواب المركزي,سنتر لوك / طلمبة,"900 - 2,800",1.5,"600 - 1,200",إي-زي بارتس,,,,,,
P0016,عدم توافق الكرنك والكامة,طقم كاتينة,"7,000 - 18,000",4,"3,500 - 6,000",إي-زي بارتس,,,,,,
P0455,تسريب كبير EVAP,خرطوم تانك / غطاء,"800 - 2,500",1.5,"600 - 1,200",إي-زي بارتس,,,,,,
B1600,فقد إشارة مفتاح الايموبلايزر,شريحة مفتاح / لاقط,"1,200 - 3,000",1.5,"800 - 1,500",إي-زي بارتس,,,,,,
P0113,دخل مرتفع حساس الهواء IAT,حساس حرارة الهواء,"1,400 - 3,200",0.5,300 - 500,إي-زي بارتس,,,,,,
P0520,عطل حساس ضغط الزيت,حساس زيت,"1,000 - 2,800",1,400 - 700,إي-زي بارتس,,,,,,
B1342,عطل كنترول الـ ECU,صيانة كنترول,"6,000 - 15,000",2.5,"2,000 - 4,500",إي-زي بارتس,,,,,,
P0130,عطل دائرة حساس الأوكسجين,حساس شكمان أمامي,"3,500 - 6,800",1,500 - 900,إي-زي بارتس,,,,,,
P0730,نسبة تروس غير صحيحة,عمرة فتيس ميكانيكا,---,6,"5,000+",إي-زي بارتس,,,,,,
B1877,عطل في شداد حزام الأمان,شداد حزام (Pre-tensioner),"2,500 - 5,500",1.5,"700 - 1,300",إي-زي بارتس,,,,,,
P0342,دخل منخفض حساس كامة,حساس كامة,"1,800 - 4,000",1,500 - 800,إي-زي بارتس,,,,,,
P0700,عطل عام بنظام الفتيس,فحص ضفيرة الفتيس,---,1,"800 - 1,500",إي-زي بارتس,,,,,,
C0240,عطل كنترول الجر (TCS),فحص كنترول ABS,---,2,"1,500 - 3,000",إي-زي بارتس,,,,,,
P0450,عطل حساس ضغط التبخير,حساس ضغط التانك,"2,500 - 5,500",1.5,"800 - 1,500",إي-زي بارتس,,,,,,
P2187,خليط فقير عند الأيدل,بلف تبخير / بوابة,"2,200 - 5,000",1,"700 - 1,200",إي-زي بارتس,,,,,,
C1223,عطل عام في ABS,فحص شامل للسيستم,---,1,"600 - 1,500",إي-زي بارتس,,,,,,
P0447,فتح دائرة تنفيس EVAP,بلف تنفيس,"1,800 - 4,200",1,"600 - 1,100",إي-زي بارتس,,,,,,
P00BC,مدى حساس الهواء (تدفق منخفض),حساس MAF / فلتر هواء,"3,800 - 8,000",0.5,300 - 600,إي-زي بارتس,,,,,,
P0480,عطل دائرة مروحة التبريد 1,كتاوت مروحة / موتور,"1,200 - 4,500",1,500 - 900,إي-زي بارتس,,,,,,
P0607,أداء وحدة التحكم (ECU),صيانة بوردة الكنترول,"7,000 - 16,000",2,"2,500 - 4,500",إي-زي بارتس,,,,,,
P0327,دخل منخفض حساس الخبط 1,حساس Knock,"2,200 - 4,800",2,"800 - 1,500",إي-زي بارتس,,,,,,
P0121,مدى حساس البوابة (A),بوابة / حساس TPS,"2,500 - 6,000",1,500 - 900,إي-زي بارتس,,,,,,
P0741,عطل بلف محول العزم (TCC),سولينويد فتيس,"4,800 - 11,000",3,"2,000 - 3,500",إي-زي بارتس,,,,,,
P0031,جهد منخفض سخان شكمان 1,حساس أوكسجين أمامي,"3,800 - 7,000",1,500 - 900,إي-زي بارتس,,,,,,
P0455,تسريب كبير (EVAP),غطاء تانك / خرطوم,"800 - 2,800",1.5,"600 - 1,200",إي-زي بارتس,,,,,,
B1000,عطل داخلي بكنترول SRS,تغيير كنترول الإيرباج,"9,000 - 22,000",2,"2,000 - 4,000",إي-زي بارتس,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"1,800 - 4,200",1.5,"800 - 1,500",إي-زي بارتس,,,,,,
P2122,دخل منخفض حساس الدعسة,حساس بدال البنزين,"4,200 - 9,800",1,"600 - 1,000",إي-زي بارتس,,,,,,
P0130,عطل دائرة حساس الأوكسجين,حساس شكمان أمامي,"3,800 - 7,200",1,"600 - 1,000",إي-زي بارتس,,,,,,
P0730,نسبة تروس غير صحيحة,عمرة فتيس ميكانيكا,---,6,"6,000+",إي-زي بارتس,,,,,,
P0016,عدم توافق الكرنك والكامة,طقم كاتينة,"8,000 - 20,000",4,"4,000 - 7,000",إي-زي بارتس,,,,,,
P0446,عطل تحكم تنفيس EVAP,بلف تنفيس,"1,800 - 4,000",1,"600 - 1,100",إي-زي بارتس,,,,,,
P2135,عدم توافق فولتية البوابة,بوابة كهرباء كاملة,"7,500 - 15,000",1,"800 - 1,400",إي-زي بارتس,,,,,,
P0342,دخل منخفض حساس الكامة,حساس كامة,"2,000 - 4,500",1,"600 - 1,000",إي-زي بارتس,,,,,,
P0710,عطل حساس حرارة الفتيس,حساس ATF Temp,"3,200 - 6,800",2,"1,200 - 2,200",إي-زي بارتس,,,,,,
P0117,دخل منخفض حساس الحرارة,حساس مياه,"700 - 1,600",0.5,300 - 600,إي-زي بارتس,,,,,,
P0604,عطل ذاكرة RAM الكنترول,تغيير ECU,"9,000 - 24,000",2,"3,000 - 5,000",إي-زي بارتس,,,,,,
B1201,عطل في عوامة البنزين,حساس مستوى الوقود,"1,800 - 3,800",1,"600 - 1,200",إي-زي بارتس,,,,,,
P0303,ميس فاير اسطوانة 3,بوجيه / موبينة,"1,600 - 3,800",0.5,300 - 500,إي-زي بارتس,,,,,,
P0732,غيار ثانٍ غير صحيح,فحص ميكانيكا الفتيس,---,5,"5,000+",إي-زي بارتس,,,,,,
P0036,دائرة سخان شكمان 2,حساس أوكسجين خلفي,"3,200 - 5,800",1,500 - 800,إي-زي بارتس,,,,,,
P0447,فتح دائرة تنفيس EVAP,بلف تنفيس,"2,000 - 4,500",1,"700 - 1,200",إي-زي بارتس,,,,,,
P2110,نظام تحكم البوابة (Limp),فحص بوابة / برمجة,---,1,"800 - 1,500",إي-زي بارتس,,,,,,
P0172,خليط وقود غني (B1),حساس هواء / رشاشات,"3,800 - 7,500",1.5,"800 - 1,500",إي-زي بارتس,,,,,,
P0560,عطل فولتية النظام,فحص أرضي وبطارية,---,1,"500 - 1,000",إي-زي بارتس,,,,,,
B1342,عطل وحدة التحكم ECU,صيانة الكنترول,"7,000 - 18,000",2.5,"2,000 - 4,500",إي-زي بارتس,,,,,,
P0133,استجابة بطيئة شكمان 1,حساس أوكسجين أمامي,"3,800 - 7,000",1,"600 - 1,000",إي-زي بارتس,,,,,,
P0481,عطل مروحة التبريد الثانية,مروحة تبريد كاملة,"4,500 - 9,500",1.5,"800 - 1,500",إي-زي بارتس,,,,,,
P0193,دخل مرتفع حساس ضغط الوقود,حساس مسطرة (Fuel Rail),"3,500 - 7,000",1,"600 - 1,200",إي-زي بارتس,,,,,,
P0715,عطل حساس سرعة الدخل,حساس توربينة الفتيس,"2,800 - 6,000",2,"1,000 - 2,000",إي-زي بارتس,,,,,,
B1421,عطل حساس الشمس (التكييف),حساس Solar Sensor,"1,500 - 3,500",1,"600 - 1,200",إي-زي بارتس,,,,,,
P0101,أداء حساس الماف (MAF),حساس تدفق الهواء,"3,800 - 8,500",0.5,400 - 700,إي-زي بارتس,,,,,,
P0741,تعليق كلاتش الـ Torque,بلف فتيس (Solenoid),"5,000 - 11,000",3,"2,500 - 5,000",إي-زي بارتس,,,,,,
P0341,مدى حساس الكامة,حساس كامة,"2,200 - 5,000",1,"700 - 1,300",إي-زي بارتس,,,,,,
P2138,عدم توافق حساسات البدال,دواسة بنزين,"5,000 - 11,000",1,"800 - 1,500",إي-زي بارتس,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"2,000 - 4,800",1.5,"1,000 - 2,000",إي-زي بارتس,,,,,,
P0700,عطل نظام الفتيس,فحص أعطال كمبيوتر,---,1,"1,000 - 2,000",إي-زي بارتس,,,,,,
P0130,عطل دائرة الأوكسجين,حساس شكمان أمامي,"4,200 - 8,000",1,"700 - 1,300",إي-زي بارتس,,,,,,
P0520,عطل حساس ضغط الزيت,حساس زيت,"1,200 - 3,500",1,"600 - 1,200",إي-زي بارتس,,,,,,
B1000,عطل وحدة تحكم SRS,تغيير كنترول الإيرباج,"10,000 - 25,000",2,"3,000 - 6,000",إي-زي بارتس,,,,,,
P0136,عطل حساس شكمان 2,حساس أوكسجين خلفي,"3,200 - 6,000",1,"600 - 1,100",إي-زي بارتس,,,,,,
P0530,عطل حساس التكييف,حساس فريون,"1,500 - 4,000",1,"700 - 1,300",إي-زي بارتس,,,,,,
B1231,عطل ذاكرة التصادم,تصفير كنترول إيرباج,"2,000 - 5,000",2,"2,000 - 4,000",إي-زي بارتس,,,,,,
P0125,حرارة تبريد غير كافية,ثرموستات كوعة,"1,800 - 4,500",1.5,"1,000 - 1,800",إي-زي بارتس,,,,,,
P0563,ارتفاع جهد النظام,منظم شحن الدينامو,"2,500 - 6,500",1,"800 - 1,500",إي-زي بارتس,,,,,,
C1201,عطل نظام المحرك (VSC),فحص شامل للحساسات,---,1,"1,000 - 2,000",إي-زي بارتس,,,,,,
P0325,عطل حساس الخبط,حساس Knock,"3,000 - 7,000",2,"1,200 - 2,500",إي-زي بارتس,,,,,,
P0740,عطل دائرة TCC,سولينويد فتيس,"5,000 - 12,000",2.5,"2,000 - 4,000",إي-زي بارتس,,,,,,
P0012,تأخر توقيت الكامة A,بلف VVT / زيت,"3,000 - 6,500",1,"800 - 1,500",إي-زي بارتس,,,,,,
P0411,تدفق هواء ثانوي خطأ,طلمبة هواء,"7,000 - 15,000",2,"2,000 - 3,500",إي-زي بارتس,,,,,,
P2196,إشارة شكمان علقت (غني),حساس أوكسجين,"4,800 - 9,500",1,"1,000 - 1,800",إي-زي بارتس,,,,,,
P0122,دخل منخفض حساس TPS,حساس بوابة,"2,000 - 4,500",0.8,"600 - 1,000",إي-زي بارتس,,,,,,
P0502,دخل منخفض حساس السرعة,حساس VSS,"1,500 - 3,500",1,"700 - 1,300",إي-زي بارتس,,,,,,
C1221,فقد إشارة حساس ABS,حساس ABS,"1,800 - 4,000",1,"700 - 1,200",إي-زي بارتس,,,,,,
P0336,مدى أداء حساس الكرنك,حساس كرنك,"2,500 - 5,500",1.5,"1,000 - 1,800",إي-زي بارتس,,,,,,
P0722,لا توجد إشارة حساس سرعة,حساس خرج الفتيس,"2,800 - 6,500",1,"800 - 1,500",إي-زي بارتس,,,,,,
P0300,رعشة في المحرك (Misfire),طقم بوجيهات + كابلات,"1,200 - 2,500",0.5,200 - 400,إي-زي بارتس,,,,,,
Mechanical,ثقل في دواسة الدبرياج,سلك دبرياج / طقم دبرياج,"3,500 - 6,500",3,"1,200 - 2,000",إي-زي بارتس,,,,,,
P0327,سماع صوت خبط (كركرة),حساس خبط (Knock Sensor),"850 - 1,600",1,300 - 500,إي-زي بارتس,,,,,,
Mechanical,سخونة المحرك في الزحام,موتور مروحة التبريد,"2,500 - 6,000",1,400 - 800,إي-زي بارتس,,,,,,
Mechanical,صفارة عند الضغط على الفرامل,تيل فرامل (Pads),"1,100 - 3,800",0.5,300 - 500,إي-زي بارتس,,,,,,
P0171,خليط وقود فقير (استهلاك),حساس هواء (MAF),"3,500 - 8,000",0.5,300 - 600,إي-زي بارتس,,,,,,
P0115,"مؤشر الحرارة ""مخرف""",حساس حرارة مياه,"600 - 1,400",0.5,200 - 400,إي-زي بارتس,,,,,,
P0700,نتعة (رزعة) في الفتيس,زيت فتيس + فلتر,"3,500 - 8,000",1.5,"800 - 1,500",إي-زي بارتس,,,,,,
Mechanical,رائحة بنزين نيء,بلف كانستر (تبخير),"1,600 - 3,800",0.5,300 - 600,إي-زي بارتس,,,,,,
Mechanical,تكييف لا يبرد (هواء فاتر),شحن فريون + زيت,"2,000 - 4,500",1.5,"1,000 - 2,000",إي-زي بارتس,,,,,,
Mechanical,تسريب زيت من جهة الكاتينة,أويل سيل (Oil Seal),350 - 900,3,"1,500 - 3,000",إي-زي بارتس,,,,,,
Mechanical,"""عومة"" في السيارة",بيض طرف / تيش ميزان,"1,200 - 3,200",1.5,"600 - 1,200",إي-زي بارتس,,,,,,
P0500,عداد الكيلومتر ثابت,حساس سرعة (VSS),"900 - 2,500",0.5,200 - 500,إي-زي بارتس,,,,,,
Mechanical,صوت خبط حديد مع المطبات,جلبة الميزان,400 - 900,1,500 - 800,إي-زي بارتس,,,,,,
Mechanical,انحراف السيارة لجهة واحدة,ضبط زوايا / مقصات,"400 - 1,200",1,400 - 800,إي-زي بارتس,,,,,,
Mechanical,"دواسة الفرامل ""حجرة""",سيرفو الفرامل,"3,500 - 9,000",2,"1,200 - 2,000",إي-زي بارتس,,,,,,
Mechanical,اهتزاز المحرك عند الوقوف,قواعد موتور (Engine Mounts),"2,500 - 7,000",2,"1,000 - 2,000",إي-زي بارتس,,,,,,
P0562,لمبة تاتش/راديو تفصل,فيش أرضي / ضفيرة,---,1.5,"1,000 - 2,500",إي-زي بارتس,,,,,,
P0234,فقدان طاقة التيربو,بلف هواء التيربو,"4,500 - 9,000",1.5,"1,200 - 2,200",إي-زي بارتس,,,,,,
P0101,برجلة في المحرك (هواء),حساس MAF,"3,800 - 8,500",0.5,300 - 600,إي-زي بارتس,,,,,,
Mechanical,رعشة في الدركسيون (ترصيص),ترصيص إطارات,300 - 700,0.5,300 - 500,إي-زي بارتس,,,,,,
P0031,عطل سخان الحساس,حساس شكمان 1,"4,200 - 8,000",1,500 - 900,إي-زي بارتس,,,,,,
Mechanical,رائحة عادم داخل الصالون,جوان فرن الشكمان,"500 - 1,200",2,"1,000 - 1,800",إي-زي بارتس,,,,,,
Electrical,راديو السيارة لا يعمل,فيوزات (Fuses),50 - 200,0.2,100 - 200,إي-زي بارتس,,,,,,
Mechanical,"البدال ""بيرجع"" ببطء",سلك دبرياج / ماستر,"1,200 - 3,500",1.5,"800 - 1,200",إي-زي بارتس,,,,,,
P0113,برجلة في الهواء البارد,حساس IAT,"1,200 - 2,800",0.5,200 - 500,إي-زي بارتس,,,,,,
